(-0.3514768409322716, -0.09880948330016555)
(-0.35078932923388956, -0.09821104177400629)
(-0.35008864636990433, -0.09760551442662001)
(-0.34939549544418447, -0.09701056702565353)
(-0.3487018627687436, -0.09641900677192189)
(-0.3479970817860087, -0.09582174699294796)
(-0.3472822313846116, -0.095219715435973)
(-0.3465564640850957, -0.09461234292850002)
(-0.34580598915879507, -0.09398823860471905)
(-0.3450332013407873, -0.09334978284580078)
(-0.34426459908399365, -0.092718858691544)
(-0.34348340332967275, -0.0920818178871217)
(-0.3427051981810126, -0.0914514327639509)
(-0.3419035152959704, -0.0908063686636997)
(-0.34105334464259807, -0.09012697275864764)
(-0.3401496062678073, -0.08940966656653505)
(-0.339170619690268, -0.08863790006655657)
(-0.3381184681956635, -0.08781381446848253)
(-0.33697455175512336, -0.08692339704420197)
(-0.33574643768650936, -0.08597288230885058)
(-0.33444295341099084, -0.08496932468342083)
(-0.333052953152157, -0.08390413146768315)
(-0.33160853646364713, -0.08280172331364036)
(-0.3301186911289775, -0.08166896926488643)
(-0.32858440435067626, -0.08050555367835183)
(-0.32704300750071996, -0.07933909334322972)
(-0.32548122385646305, -0.0781588407740522)
(-0.3239221075306934, -0.07698167412436484)
(-0.32230638995495886, -0.0757622460847528)
(-0.3206871144643999, -0.07454020529647049)
(-0.31909867090197697, -0.07334107740527665)
(-0.31753502635435843, -0.07216024541231336)
(-0.31596804103908654, -0.07097635923756603)
(-0.3143948310216546, -0.0697875025544147)
(-0.31279316571136473, -0.0685771299736399)
(-0.3111479096933838, -0.0673342501014589)
(-0.3094376727823262, -0.06604327574554128)
(-0.3076515317858471, -0.06469683003345562)
(-0.30578156204228524, -0.0632899734990813)
(-0.30382522517999017, -0.06182204675514132)
(-0.301786789111536, -0.06029773484402597)
(-0.2996662179771, -0.05871855976986672)
(-0.29746299691483047, -0.057086022824212435)
(-0.2951625785932814, -0.05539133634411125)
(-0.2927935488997869, -0.053657820788120765)
(-0.2903370027499826, -0.05187390928517184)
(-0.28780971520821735, -0.05005413201952997)
(-0.28518708695696715, -0.04818321018638149)
(-0.2824710689927133, -0.0462654779824763)
(-0.2796562248836633, -0.044299841415635303)
(-0.2767328304264442, -0.042282383895047466)
(-0.2737321888425441, -0.04023720134929789)
(-0.27064918622039386, -0.03816274131728566)
(-0.2674885057713465, -0.03606406048219334)
(-0.264259306079964, -0.03394878078193667)
(-0.26097552301666466, -0.03182742851113183)
(-0.2576537700900754, -0.02971153248344447)
(-0.254300252816466, -0.02760576948166287)
(-0.2509278577563501, -0.025518445586830515)
(-0.24752613522645378, -0.023443695034937706)
(-0.24411753321475418, -0.021395289695869266)
(-0.2407236791851149, -0.019386038489343786)
(-0.23731431768948963, -0.017397912310439738)
(-0.2339078270912198, -0.015441661768866233)
(-0.23051239471388948, -0.013521418839355802)
(-0.22710763632623582, -0.011625348719557733)
(-0.2236863744470449, -0.009749624388648563)
(-0.2202453959678727, -0.007892217150799713)
(-0.2167739243950261, -0.006047469071940099)
(-0.2132615902265866, -0.00421005639728287)
(-0.20971184045477217, -0.0023822378941674265)
(-0.2061076541032576, -0.0005556415178964135)
(-0.2024669378615604, 0.0012600351616294057)
(-0.1987980757011411, 0.0030605143421334083)
(-0.19510842792658184, 0.00484183243369644)
